Associated with;Overall file decorastors;Cycl. Number;Cycl. Density;Halstead Bugs;Halstead Difficulty;Halstead Effort;Halstead Length;Halstead Time;Halstead Vocabulary;Halstead Volume;Halstead Identifiers Distinct;Halstead Identifiers Total;Halstead Identifiers Names;Halstead Identifiers Distinct;Halstead Identifiers Total;Halstead Identifiers Names;LOC Physical;LOC Logical;Method Name;Method Max Depth;Method Number Nested Methods;Method Parameter Names;Associated Class Name;
E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\featureManagement\decoratorsVariationPointManagement\decorator-types.service.spec.ts;0;1,0;50,0;0,005;1,0;13,932;6,0;0,774;5,0;13,932;3,0;3,0;expect,service,toBeTruthy;2,0;3,0;(),.;3,0;2,0;<anon method-3>;0;0;;Not class;
E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\featureManagement\decoratorsVariationPointManagement\decorator-types.service.spec.ts;0;1,0;33,333;0,013;2,4;91,294;12,0;5,072;9,0;38,039;5,0;6,0;TestBed,configureTestingModule,service,DecoratorTypesService,inject;4,0;6,0;(),{},=,.;4,0;3,0;<anon method-2>;0;0;;Not class;
E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\featureManagement\decoratorsVariationPointManagement\decorator-types.service.spec.ts;0;1,0;20,0;0,01;1,5;45,0;10,0;2,5;8,0;30,0;5,0;5,0;"should be created",beforeEach,service,DecoratorTypesService,it;3,0;5,0;(),function=>,let;10,0;5,0;<anon method-1>;0;0;;Not class;
DecoratorTypesService;0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;;2,0;0,0;wholeInitialization;0;0;arg0;DecoratorTypesService;
DecoratorTypesService;0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;;2,0;0,0;<anon method-2>;0;0;target,propertyKey,descriptor;DecoratorTypesService;
DecoratorTypesService;0;1,0;50,0;0,002;2,0;12,68;4,0;0,704;3,0;6,34;1,0;2,0;target;2,0;2,0;function=>,return;4,0;2,0;wholeBlockFile;0;0;arg0;DecoratorTypesService;
DecoratorTypesService;0;1,0;50,0;0,006;2,0;37,151;8,0;2,064;5,0;18,575;3,0;6,0;propertyKey,descriptor,target;2,0;2,0;function=>,return;4,0;2,0;wholeBlockMethod;0;0;arg0;DecoratorTypesService;
DecoratorTypesService;0;1,0;50,0;0,006;2,0;37,151;8,0;2,064;5,0;18,575;3,0;6,0;propertyKey,parameterIndex,target;2,0;2,0;function=>,return;4,0;2,0;skipLineFile;0;0;arg0,commentedLine;DecoratorTypesService;
DecoratorTypesService;0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;;2,0;0,0;<anon method-4>;0;0;target,propertyKey,parameterIndex;DecoratorTypesService;
DecoratorTypesService;0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;;1,0;0,0;constructor;0;0;;DecoratorTypesService;
DecoratorTypesService;0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;;2,0;0,0;<anon method-3>;0;0;target,propertyKey,parameterIndex;DecoratorTypesService;
DecoratorTypesService;0;1,0;50,0;0,004;2,0;24,0;6,0;1,333;4,0;12,0;2,0;4,0;key,target;2,0;2,0;function=>,return;4,0;2,0;skipLineClassVariableDeclaration;0;0;arg0,commentedLine;DecoratorTypesService;
DecoratorTypesService;0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;;2,0;0,0;<anon method-5>;0;0;target,key;DecoratorTypesService;
DecoratorTypesService;0;1,0;50,0;0,006;2,0;37,151;8,0;2,064;5,0;18,575;3,0;6,0;propertyKey,parameterIndex,target;2,0;2,0;function=>,return;4,0;2,0;skipLineVariableDeclaration;0;0;arg0,commentedLine;DecoratorTypesService;
DecoratorTypesService;0;1,0;50,0;0,006;2,0;37,151;8,0;2,064;5,0;18,575;3,0;6,0;propertyKey,parameterIndex,target;2,0;2,0;function=>,return;4,0;2,0;skipLineParameter;0;0;arg0,commentedLine;DecoratorTypesService;
DecoratorTypesService;0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;;2,0;0,0;<anon method-1>;0;0;target;DecoratorTypesService;
DecoratorTypesService;0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;;2,0;0,0;<anon method-6>;0;0;target,propertyKey,parameterIndex;DecoratorTypesService;
E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\featureManagement\decoratorsVariationPointManagement\service-to-skip.service.spec.ts;0;1,0;20,0;0,01;1,5;45,0;10,0;2,5;8,0;30,0;5,0;5,0;"should be created",beforeEach,service,ServiceToSkipService,it;3,0;5,0;(),function=>,let;10,0;5,0;<anon method-1>;0;0;;Not class;
