"Form";"Complexity.name";"Statistics";"p.value"
"3";"Halstead.Identifiers.Total.1";"0.66211589783769";"9.14347660110926e-12"
"3";"LOC.Physical";"0.723699622974478";"1.69136862063266e-10"
"3";"LOC.Logical";"0.708668303484739";"7.99070065191455e-11"
"3";"Class.Maintainability";"0.875354262415069";"2.76452000349136e-06"
"3";"Class.number.methods";"0.821471128896316";"4.98151251811276e-08"
"4";"Overall.file.decorastors";"0.31508308458607";"7.25230296399147e-17"
"4";"Cycl..Number";"0.753994585424712";"8.36240652857191e-10"
"4";"Cycl..Density";"0.876792221578116";"3.11646853134073e-06"
"4";"Halstead.Bugs";"0.597979075973256";"6.31821738757519e-13"
"4";"Halstead.Difficulty";"0.6477429485189";"4.88123372895015e-12"
"4";"Halstead.Effort";"0.381141104619503";"4.51887195861323e-16"
"4";"Halstead.Length";"0.635572272387009";"2.90850408564097e-12"
"4";"Halstead.Time";"0.381141107116835";"4.51887228322336e-16"
"4";"Halstead.Vocabulary";"0.85914679516366";"7.53468111541915e-07"
"4";"Halstead.Volume";"0.59799603500572";"6.3224249460293e-13"
"4";"Halstead.Identifiers.Distinct";"0.833518488188988";"1.13964767814122e-07"
"4";"Halstead.Identifiers.Total";"0.618550106882407";"1.43805621936501e-12"
"4";"Halstead.Identifiers.Distinct.1";"0.924545082388634";"0.000281683164533584"
"4";"Halstead.Identifiers.Total.1";"0.653762724943563";"6.33493140173811e-12"
"4";"LOC.Physical";"0.715799022134458";"1.136657234038e-10"
"4";"LOC.Logical";"0.69868930361023";"4.92710203303129e-11"
"4";"Class.Maintainability";"0.876256412437739";"2.98010292688131e-06"
"4";"Class.number.methods";"0.821471128896316";"4.98151251811276e-08"
"5";"Overall.file.decorastors";"0.31615288034552";"7.46244633709518e-17"
"5";"Cycl..Number";"0.753994585424712";"8.36240652857191e-10"
"5";"Cycl..Density";"0.88127406365513";"4.55057326474666e-06"
"5";"Halstead.Bugs";"0.608738759306407";"9.6777787930716e-13"
"5";"Halstead.Difficulty";"0.630342843619316";"2.33697583903111e-12"
"5";"Halstead.Effort";"0.386023302415908";"5.20232586099118e-16"
"5";"Halstead.Length";"0.642859695097168";"3.95978170823472e-12"
"5";"Halstead.Time";"0.386023313540724";"5.20232753546625e-16"
"5";"Halstead.Vocabulary";"0.848787223321363";"3.43269220537541e-07"
"5";"Halstead.Volume";"0.608748640409134";"9.68160556754178e-13"
"5";"Halstead.Identifiers.Distinct";"0.835014571072692";"1.26617824777752e-07"
"5";"Halstead.Identifiers.Total";"0.625040477955859";"1.87613770163061e-12"
"5";"Halstead.Identifiers.Distinct.1";"0.882633631577631";"5.11224031890046e-06"
"5";"Halstead.Identifiers.Total.1";"0.662328924118925";"9.23019745432701e-12"
"5";"LOC.Physical";"0.724547567433027";"1.76587175581996e-10"
"5";"LOC.Logical";"0.708312865791048";"7.85276289025539e-11"
"5";"Class.Maintainability";"0.874505580961982";"2.57668318608871e-06"
"5";"Class.number.methods";"0.821471128896316";"4.98151251811276e-08"
